epoch,spk_reliance,step,text_reliance,train_loss,val_loss
0,0.001159965991973877,884,0.08341938257217407,,7.828516006469727
0,,884,,8.267269134521484,
1,0.0004016757011413574,1769,0.2359623908996582,,7.407070636749268
1,,1769,,7.59346342086792,
2,-0.0002492666244506836,2654,0.3700619339942932,,7.100279331207275
2,,2654,,7.2041778564453125,
3,-0.0002955198287963867,3539,0.48326408863067627,,6.89328670501709
3,,3539,,6.8585944175720215,
4,0.00010609626770019531,4424,0.6545025110244751,,6.759156227111816
4,,4424,,6.553528785705566,
5,0.0016303658485412598,5309,1.1085331439971924,,6.4937639236450195
5,,5309,,6.244600772857666,
6,0.003186523914337158,6194,1.734616756439209,,6.208885192871094
6,,6194,,5.748007774353027,
7,0.00017499923706054688,7079,2.037189483642578,,6.201633453369141
7,,7079,,5.371180057525635,
8,0.00139695405960083,7964,2.276764392852783,,6.293602466583252
8,,7964,,5.0464396476745605,
9,0.0027785301208496094,8849,2.4254262447357178,,6.453047752380371
9,,8849,,4.700808048248291,
10,0.0014857053756713867,9734,2.639131784439087,,6.704193115234375
10,,9734,,4.29368782043457,
11,0.002553582191467285,10619,2.888016939163208,,6.997856140136719
11,,10619,,3.869340658187866,
12,0.003534972667694092,11504,3.0439488887786865,,7.320566654205322
12,,11504,,3.470513343811035,
13,0.0009966492652893066,11505,1.939239501953125,,6.213797569274902
